mot
patron / employé
manager / subordonné
directeur / salarié
chef d'équipe / membre d'équipe
superviseur / travailleur
PDG / cadre
actionnaire / dirigeant
collègue / collègue
mentor / mentoré
formateur / stagiaire
tuteur / apprenti
maître / élève (artisanat)
chef de projet / collaborateur
recruteur / candidat
RH / employé
syndicat / direction
représentant du personnel / employeur
consultant / client
freelance / commanditaire
entrepreneur / investisseur
vendeur / acheteur
commerçant / client
fournisseur / distributeur
grossiste / détaillant
représentant commercial / prospect
agent immobilier / acquéreur
courtier / investisseur
négociant / consommateur
marketeur / audience
commercial / entreprise
concessionnaire / client
franchiseur / franchisé
importateur / exportateur
serveur / client
réceptionniste / visiteur
caissier / acheteur
chauffeur de taxi / passager
livreur / destinataire
coiffeur / client
esthéticienne / cliente
mécanicien / propriétaire de véhicule
plombier / propriétaire
électricien / client
jardinier / propriétaire
femme de ménage / employeur
concierge / résident
gardien / visiteur
guide touristique / touriste
hôte / invité
traiteur / organisateur
médecin / patient
infirmier / malade
chirurgien / opéré
dentiste / patient
pharmacien / client
kinésithérapeute / patient
psychologue / consultant
psychiatre / patient
thérapeute / patient
ostéopathe / patient
sage-femme / parturiente
opticien / client
vétérinaire / propriétaire d'animal
diététicien / client
aide-soignant / résident
professeur / élève
enseignant / étudiant
maître d'école / écolier
directeur d'école / élève
CPE / lycéen
surveillant / élève
professeur principal / classe
coach sportif / athlète
entraîneur / joueur
instructeur / apprenant
professeur de musique / élève
professeur de danse / danseur
maître de conférences / étudiant
directeur de thèse / doctorant
correcteur / candidat
parent / enfant
père / fils
mère / fille
frère / sœur
grand-parent / petit-enfant
oncle / neveu
tante / nièce
cousin / cousin
beau-parent / beau-fils
belle-mère / gendre
beau-père / belle-fille
parrain / filleul
marraine / filleule
tuteur légal / pupille
famille d'accueil / enfant placé
mari / femme
époux / épouse
conjoint / conjoint
compagnon / compagne
petit ami / petite amie
fiancé / fiancée
partenaire / partenaire
amant / maîtresse
ex-conjoint / ex-conjoint
ami / ami
meilleur ami / meilleur ami
camarade / camarade
connaissance / connaissance
voisin / voisin
colocataire / colocataire
membre de club / membre de club
compagnon de voyage / compagnon de voyage
avocat / client
juge / justiciable
procureur / accusé
notaire / client
huissier / débiteur
greffier / plaideur
témoin / accusé
jury / prévenu
médiateur / parties en conflit
expert judiciaire / tribunal
policier / citoyen
gendarme / contrevenant
garde du corps / protégé
détective privé / client
fonctionnaire / administré
maire / citoyen
élu / électeur
député / citoyen
sénateur / constituant
ministre / citoyen
président / citoyen
diplomate / ressortissant
consul / expatrié
agent administratif / usager
banquier / client
conseiller financier / investisseur
comptable / entreprise
expert-comptable / client
auditeur / société
assureur / assuré
créancier / débiteur
prêteur / emprunteur
agent de change / investisseur
journaliste / source
reporter / interviewé
rédacteur en chef / journaliste
éditeur / auteur
agent littéraire / écrivain
bibliothécaire / lecteur
conservateur / visiteur
galeriste / artiste
critique / artiste
producteur / acteur
réalisateur / acteur
metteur en scène / comédien
chorégraphe / danseur
chef d'orchestre / musicien
imprésario / artiste
arbitre / joueur
commissaire sportif / athlète
président de club / joueur
agent sportif / athlète
supporteur / équipe
adversaire / adversaire
coéquipier / coéquipier
capitaine / équipe
prêtre / fidèle
pasteur / paroissien
imam / croyant
rabbin / fidèle
moine / laïc
évêque / diocésain
pape / catholique
gourou / disciple
maître spirituel / élève
développeur / utilisateur
technicien / client
administrateur système / utilisateur
webmaster / visiteur
support technique / utilisateur
hacker éthique / entreprise
influenceur / follower
créateur de contenu / abonné
streamer / viewer
modérateur / membre
propriétaire / locataire
bailleur / preneur
syndic / copropriétaire
agent immobilier / vendeur
architecte / maître d'ouvrage
entrepreneur / client
promoteur / acheteur
pilote / passager
commandant de bord / équipage
contrôleur / voyageur
chauffeur de bus / passager
conducteur / passager
capitaine / marin
officier / soldat
général / troupe
commandant / subordonné
sergent / recrue
vigile / visiteur
agent de sécurité / public
pompier / sinistré
sauveteur / victime
secouriste / blessé
donateur / bénéficiaire
bénévole / association
parrain (entreprise) / filleul
mécène / artiste
sponsor / événement
organisateur / participant
animateur / public
présentateur / audience
porte-parole / presse
ambassadeur / pays hôte
interprète / locuteur
